date,open,high,low,close,volume
2025-02-28,157.1300,162.2000,155.3000,162.0400,2734193
2025-02-27,165.0900,166.6700,159.0600,160.0700,1507700
2025-02-26,160.0000,164.6300,159.0500,162.5400,1659000
2025-02-25,161.3300,164.0400,152.8600,158.7800,2127900
2025-02-24,164.4500,166.3600,156.4500,164.6300,1909000
2025-02-21,177.5100,177.8800,164.0800,164.4800,2085900
2025-02-20,180.0000,180.0800,171.5000,174.9700,2426500
2025-02-19,183.2900,183.2900,176.7500,181.6700,2404700
2025-02-18,182.7100,183.5300,176.2000,183.4500,1889600
2025-02-14,179.1900,182.1500,175.4500,181.9200,1739400
2025-02-13,173.0100,182.0600,171.7200,181.0200,2498900
2025-02-12,170.5000,174.9900,167.2200,172.0800,2425400
2025-02-11,174.6600,179.8500,164.3700,176.5700,3695100
2025-02-10,174.0000,176.7500,170.5000,171.5500,2274400
2025-02-07,169.4800,171.0000,166.4400,167.6700,1342000
2025-02-06,175.0000,176.0800,167.3300,169.9700,1678600
2025-02-05,170.1100,174.5600,169.2800,174.3800,2003000
2025-02-04,167.1900,172.6200,167.1000,170.7300,1595400
2025-02-03,161.0000,168.6900,160.5500,166.5700,2982000
2025-01-31,173.6500,176.9900,169.1400,169.6100,2475400
2025-01-30,167.4600,172.9600,167.0000,172.5600,2012400
2025-01-29,169.0200,170.8400,165.7400,168.4600,1564400
2025-01-28,157.6600,169.6800,157.1100,169.2000,2338300
2025-01-27,150.0000,155.8500,147.5700,154.3500,1179500
2025-01-24,152.6000,156.7000,152.3500,154.4700,1613000
2025-01-23,152.9900,153.0800,151.0700,152.6600,1230500
2025-01-22,154.0000,154.7700,151.9000,153.0300,1525100
2025-01-21,149.9400,153.1500,149.6500,152.4300,1701700
2025-01-20,149.5000,150.4700,148.4800,149.5200,427500
2025-01-17,152.4500,152.8000,149.0500,149.5500,2739500
2025-01-16,150.0100,151.9100,148.4700,149.0100,1315100
2025-01-15,149.4700,150.1800,147.5000,149.4200,1418700
2025-01-14,148.2200,148.8500,144.8000,145.8200,1847000
2025-01-13,145.0000,146.9300,142.7700,146.4700,2244400
2025-01-10,150.3800,150.5000,143.8000,149.7200,2491200
2025-01-09,154.8500,156.1000,153.9900,155.4500,308000
2025-01-08,153.8800,154.9800,151.2000,154.8800,2044700
2025-01-07,164.7400,165.0100,152.3800,153.3600,2009200
2025-01-06,161.0000,163.8400,159.8400,163.6700,1543200
2025-01-03,156.1500,158.1700,155.4000,157.8700,1381400
2025-01-02,155.3300,156.3200,151.3900,154.9100,1396400
2024-12-31,153.7600,154.5500,151.6900,152.9900,1031200
2024-12-30,151.8400,153.9700,150.8100,153.2000,1366000
2024-12-27,157.3500,158.1000,153.6600,156.0300,1569600
2024-12-24,159.5000,159.5000,156.0900,159.5000,455400
2024-12-23,156.1500,158.4800,155.1000,157.0500,1907900
2024-12-20,152.1600,157.8500,150.3700,156.7200,6192700
